# Spanish place names that Deepgram nova-3 mis-transcribes — measured, not guessed.
#
# THE SWEEP (2026-08-23). 941 Spanish municipalities over 8.000 inhabitants, each spoken by macOS
# `say -v Mónica` inside a carrier sentence («Estoy en X, ¿qué tiempo hace?») and sent to nova-3 with
# language=es. 342 of the 941 came back wrong — 36%. The list below is the worst of those by population.
# Ranking by population ALONE was tried first and does not work: it spends the budget on Madrid and
# Barcelona, which nova-3 already gets right, and never reaches Calatayud (#429 nationally) — the name
# that caused the incident this exists for.
#
# ONE WORD ONLY, and that is a budget decision with a cost. Deepgram caps keyterm at 500 sub-word tokens,
# so «Sanlúcar de Barrameda» eats several slots at once; dropping multi-word names moved the measured
# capacity from 99 entries to 121, and that is the only reason Calatayud fits at all. The ones left out
# fail just as badly — a sample is at the bottom. Boosting only their distinctive word («Cornellá»,
# «Castelldefels») would recover them, but it needs a stop-word filter first or «Santa», «Nueva» and
# «Villa» get boosted across the whole language.
#
# Each line records what came back, so the next person can re-judge a call without re-running the sweep.
# Some of these are not garble but a DIFFERENT REAL CITY, which is the dangerous kind: «Badalona» heard
# as «Barcelona» is wrong in a way that reads perfectly.
Vigo                      # heard as: vivo
Vitoria                   # heard as: Victoria
Elche                     # heard as: el
Tarrasa                   # heard as: Terraza
Badalona                  # heard as: Barcelona
Salamanca                 # heard as: Salamaca
Reus                      # heard as: Rewards
Rivas-Vaciamadrid         # heard as: Rivas Vacia Madrid
Vélez-Málaga              # heard as: Vélez Málaga
Fuengirola                # heard as: Fuegirola
Manresa                   # heard as: Mandesa
Palencia                  # heard as: Valencia
Guecho                    # heard as: (desapareció)
Avilés                    # heard as: hábiles
Majadahonda               # heard as: Mahadahonda
Castelldefels             # heard as: Castell de Fels
Viladecans                # heard as: Vila de Cannes
Ponferrada                # heard as: Conferrada
Aranjuez                  # heard as: Arajuez
Alcoy                     # heard as: alcohol
Cuenca                    # heard as: cueca
Siero                     # heard as: (desapareció)
Torrelavega               # heard as: Torre La Vega
Vic                       # heard as: Big
Adeje                     # heard as: ADG
Figueras                  # heard as: Fiberas
Gavá                      # heard as: (desapareció)
Puertollano               # heard as: Puerto Llano
Blanes                    # heard as: planes
Torre-Pacheco             # heard as: Torre Pacheco
Burjasot                  # heard as: (desapareció)
Llucmajor                 # heard as: York
Basauri                   # heard as: (desapareció)
Langreo                   # heard as: la Greo
Arroyomolinos             # heard as: Arroyo Molinos
Burriana                  # heard as: Gurriana
Villajoyosa               # heard as: Villa Joyosa
Onteniente                # heard as: un Teniente,
Yecla                     # heard as: (desapareció)
Inca                      # heard as: (desapareció)
Villena                   # heard as: Guillena
Salt                      # heard as: sol
Arteijo                   # heard as: Artelfo
Castro-Urdiales           # heard as: Castraurdiales,
Navalcarnero              # heard as: Naval Carnero
